uri,stars,archived_file_percent,archived_file_count,total_file_count,f_0,f_1,f_2,f_3,f_4,f_5
http://web.archive.org/web/20220429131042/https://github.com/cvqluu/Factorized-TDNN,144,0.0,0,6,0.0,0.0,,,,
http://web.archive.org/web/20231013183033/https://github.com/shanzha09/COIPS,13,0.0,0,21,0.0,0.0,,,,
http://web.archive.org/web/20220810153933/https://github.com/mhejrati/3D-Object,13,0.0,0,111,0.0,0.0,,,,
http://web.archive.org/web/20240314161152/https://github.com/ohdsi/patientlevelprediction,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
http://web.archive.org/web/20221208092515/https://github.com/Zheng222/DMFN,250,0.0,0,35,0.0,0.0,0.0,0.0,,
http://web.archive.org/web/20240419185956/https://github.com/btwardow/dml4rec,6,0.09876543209876543,8,81,1.0,0.0,0.0,0.0,0.0,
http://web.archive.org/web/20220808024803/https://github.com/SkafteNicki/libcpab,48,0.0,0,51,0.0,0.0,0.0,,,
http://web.archive.org/web/20231215115321/https://github.com/JHL-HUST/PWWS,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
http://web.archive.org/web/20231206110105/https://github.com/valvoda/Precedent,1,0.0,0,4,0.0,,,,,
http://web.archive.org/web/20221122153642/https://github.com/jmkuebler/tests-wo-splitting,1,0.0,0,22,0.0,0.0,0.0,,,
http://web.archive.org/web/20221207185711/https://github.com/LSSTDESC/CLMM,25,0.008547008547008548,1,117,0.06666666666666667,0.0,0.0,0.0,,
http://web.archive.org/web/20240211052515/https://github.com/openenergymonitor/learn,58,0.0,0,28,0.0,0.0,,,,
http://web.archive.org/web/20221105000846/https://github.com/nangongwubu/Network-Controllability-Diagnostics,16,0.0,0,27,0.0,,,,,
http://web.archive.org/web/20221012045037/https://github.com/Jiaolong/self-supervised-da,48,0.0,0,81,0.0,0.0,0.0,,,
http://web.archive.org/web/20221223143059/https://github.com/iesl/protoqa-data,30,0.07692307692307693,1,13,0.2,0.0,0.0,,,
http://web.archive.org/web/20240413154816/https://github.com/cau-placc/julia-curry,5,0.016666666666666666,1,60,0.16666666666666666,0.0,0.0,,,
http://web.archive.org/web/20230615232608/https://github.com/machine-intelligence-laboratory/DDI-100,133,0.0,0,10,0.0,0.0,,,,
http://web.archive.org/web/20231117124035/https://github.com/pyFBU/fbu,2,0.0,0,18,0.0,0.0,0.0,,,
http://web.archive.org/web/20240217171917/https://github.com/libp2p/rust-libp2p,4846,0.06427503736920777,43,669,0.875,0.08333333333333333,0.07103825136612021,0.044444444444444446,0.008064516129032258,0.0
http://web.archive.org/web/20220302230409/https://github.com/NKrvavica/Q-2L-SWE,1,0.0,0,10,0.0,,,,,
http://web.archive.org/web/20240415162706/https://github.com/ASTROVPK/KALI,14,0.0,0,1215,0.0,0.0,0.0,0.0,,
http://web.archive.org/web/20231012180555/https://github.com/iasthc/hsuan-fuzz,29,0.0,0,21,0.0,0.0,0.0,,,
http://web.archive.org/web/20220818054149/https://github.com/patperry/biclustpl,1,0.0,0,8,0.0,0.0,,,,
http://web.archive.org/web/20230321055457/https://github.com/svenkreiss/socialforce,127,0.027777777777777776,2,72,0.0,0.0392156862745098,0.0,,,
http://web.archive.org/web/20221122110237/https://github.com/igmhub/SaclayMocks,0,0.0,0,102,0.0,0.0,0.0,0.0,,
http://web.archive.org/web/20221017222405/https://github.com/yuxingch/Implicature-Strength-Some,3,0.0,0,212,0.0,0.0,0.0,0.0,0.0,
http://web.archive.org/web/20240327095959/https://github.com/Microsoft/Quantum,3875,0.11642949547218628,90,773,0.9333333333333333,0.9375,0.42857142857142855,0.10554089709762533,0.0,0.0
http://web.archive.org/web/20201213192205/https://github.com/sguada/caffe-public,11,0.0,0,180,0.0,0.0,0.0,0.0,,
http://web.archive.org/web/20240413165622/https://github.com/katarinavuckovic/MAPCSI,8,0.0,0,20,0.0,0.0,,,,
http://web.archive.org/web/20221014105005/https://github.com/IBM/indo-aryan-language-family-model,0,0.0,0,2,0.0,,,,,
http://web.archive.org/web/20230321025439/https://github.com/Abe404/RootPainter3D,20,0.043478260869565216,4,92,1.0,0.03571428571428571,0.0,0.0,0.0,
http://web.archive.org/web/20220603062018/https://github.com/spyysalo/crfsuite,0,0.0,0,103,0.0,0.0,0.0,0.0,,
http://web.archive.org/web/20221006120400/https://github.com/rooshenas_ebr/mt,5,0.0,0,923,0.0,0.0,0.0,0.0,0.0,0.0
http://web.archive.org/web/20220707214019/https://github.com/mattiaspaul/TernaryNet,10,0.0,0,3,0.0,,,,,
http://web.archive.org/web/20221011011035/https://github.com/jiesutd/RerankNER,22,0.0,0,39,0.0,0.0,,,,
http://web.archive.org/web/20240413062204/https://github.com/brandeis-machine-learning/FairOutlierDetection,11,0.07692307692307693,2,26,1.0,0.0,0.0,0.0,,
http://web.archive.org/web/20240411231552/https://github.com/mysql/mysql-server,11049,0.0005357069271026497,26,48534,0.7647058823529411,0.006060606060606061,0.0,0.0009787928221859706,9.544716999140975e-05,0.0
http://web.archive.org/web/20240110140332/https://github.com/TDAMinimalGeneratorResearch/minimal-generator,9,0.0,0,384,0.0,0.0,0.0,,0.0,
http://web.archive.org/web/20230327053705/https://github.com/DwangoMediaVillage/Comicolorization,143,0.047058823529411764,4,85,0.0,0.12903225806451613,0.0,0.0,,
http://web.archive.org/web/20231116212036/https://github.com/deeglaze/limp,0,0.029411764705882353,1,34,0.029411764705882353,,,,,
http://web.archive.org/web/20240413032739/https://github.com/dpkp/kafka-python,5635,0.07718120805369127,23,298,0.8823529411764706,0.06666666666666667,0.04938271604938271,0.0,0.0,
http://web.archive.org/web/20240428133936/https://github.com/czech-case-law-relevance/czech-court-citations-dataset,1,1.0,22,22,1.0,,,,,
http://web.archive.org/web/20221014193338/https://github.com/b04901014/FG-transformer-TTS,88,0.0,0,87,0.0,0.0,,0.0,,
http://web.archive.org/web/20221116001518/https://github.com/TApplencourt/OvO,21,0.0010515247108307045,1,951,0.0,0.14285714285714285,0.0,,0.0,
http://web.archive.org/web/20230306130657/https://github.com/malllabiisc/HyTE,173,0.07692307692307693,1,13,0.08333333333333333,0.0,,,,
http://web.archive.org/web/20230210021704/https://github.com/ckiplab/CA-EHN,5,0.16666666666666666,1,6,0.5,0.0,,,,
http://web.archive.org/web/20230421091040/https://github.com/massive-graphs/extmem-lfr,0,0.0,0,232,0.0,0.0,0.0,0.0,,
http://web.archive.org/web/20220816004759/https://github.com/hammurabi-dev/hammurabiX,2,0.0,0,93,0.0,0.0,0.0,0.0,,
http://web.archive.org/web/20221017020337/https://github.com/mahaitongdae/Feasible-Actor-Critic,16,0.0,0,41,0.0,0.0,0.0,,,
http://web.archive.org/web/20221014092446/https://github.com/salesforce/ConvSumm,38,0.043478260869565216,1,23,0.2,0.0,0.0,,,
http://web.archive.org/web/20220705044103/https://github.com/heendung/vs-zsl,4,0.0,0,8,0.0,0.0,,,,
http://web.archive.org/web/20230324204613/https://github.com/rahmanidashti/STACP,24,0.0,0,29,0.0,0.0,0.0,0.0,,
http://web.archive.org/web/20240428104016/https://github.com/davechurchill/commandcenter,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
http://web.archive.org/web/20240326042829/https://github.com/fg-inet/dtsimulator,0,0.037037037037037035,1,27,0.3333333333333333,0.0,0.0,,,
http://web.archive.org/web/20230912102030/https://github.com/resibots_robot/dart,51,0.0,0,1458,0.0,0.0,0.0,0.0,0.0,0.0
http://web.archive.org/web/20240415155440/https://github.com/dukedbgroup/ROBUS,2,0.0,0,73,0.0,0.0,,,,0.0
http://web.archive.org/web/20230706011915/https://github.com/Taha-Rouabah/Topological-Quantum-Computing,3,0.0,0,18,0.0,0.0,0.0,0.0,,
http://web.archive.org/web/20221020154813/https://github.com/plaut/linear-ae-pca,16,0.0,0,3,0.0,,,,,
http://web.archive.org/web/20231114115751/https://github.com/hariagr/R2CT,3,0.0,0,24,0.0,0.0,,,,
http://web.archive.org/web/20240424002440/https://github.com/cmc623/Multi-lane-formation-control,14,1.0,12,12,1.0,,,,,
http://web.archive.org/web/20211207032916/https://github.com/arthur-puls/xiru,0,0.0,0,16,0.0,,,,,
http://web.archive.org/web/20240415190920/https://github.com/andrewfowlie_thermal/funcs,11,0.038461538461538464,1,26,0.0,0.05555555555555555,,,,
http://web.archive.org/web/20231025193745/https://github.com/keflavich/gaussfitter,20,0.029411764705882353,1,34,0.0,0.08333333333333333,0.0,0.0,,
http://web.archive.org/web/20240415225041/https://github.com/EmaroLab_fuzzy/sit,0,0.0,0,776,0.0,0.0,0.0,0.0,0.0,0.0
http://web.archive.org/web/20221108093426/https://github.com/Chen-Cai-OSU/LDP,23,0.0,0,9,0.0,0.0,,,,
http://web.archive.org/web/20220622025346/https://github.com/kyunghoon-jung_Deep_Learning_CPMG/Analysis,5,0.01818181818181818,1,55,0.07142857142857142,0.0,0.0,,,
http://web.archive.org/web/20231231073017/https://github.com/ZhangVision/bitnet,3,0.0,0,3,0.0,,,,,
http://web.archive.org/web/20231119155417/https://github.com/RidgeRun/gst-inference,127,0.0,0,103,0.0,0.0,0.0,0.0,,
http://web.archive.org/web/20221207195403/https://github.com/roberto-arroyo/OpenABLE,41,0.0,0,15,0.0,0.0,0.0,,,
http://web.archive.org/web/20240415203228/https://github.com/bdqnghi/treecaps,22,0.06666666666666667,1,15,0.1111111111111111,0.0,0.0,,,
http://web.archive.org/web/20221029161802/https://github.com/szq0214/fkd,185,0.0,0,19,0.0,0.0,0.0,,,
http://web.archive.org/web/20221206183848/https://github.com/Joshua-Ren_Neural_Iterated/Learning,14,0.0,0,11,0.0,0.0,,,,
http://web.archive.org/web/20231012192236/https://github.com/oplatek/sds-tracker,2,0.0,0,25,0.0,0.0,0.0,,,
http://web.archive.org/web/20240411184448/https://github.com/golnazghiasi/Occluded-HELEN-image-list,0,0.5,1,2,0.5,,,,,
http://web.archive.org/web/20231117175918/https://github.com/astronomical-data-processing/ENGAS,2,0.0,0,60,0.0,0.0,0.0,0.0,,
http://web.archive.org/web/20221204143410/https://github.com/weihaox/ST-CLSTM,27,0.0,0,26,0.0,0.0,0.0,,,
http://web.archive.org/web/20221016235744/https://github.com/AnDiChallenge_AnDi2020_TeamJ/FCI,1,0.0,0,26,0.0,0.0,0.0,,,
http://web.archive.org/web/20221027032120/https://github.com/EliaBisi/LocalMaps,0,0.0,0,2,0.0,,,,,
http://web.archive.org/web/20221006231939/https://github.com/Zabuzard/LexiSearchExercises,3,0.043478260869565216,5,115,0.45454545454545453,0.0,0.0,0.0,0.0,0.0
http://web.archive.org/web/20230227055835/https://github.com/Xi-L/ParetoMTL,133,0.16666666666666666,2,12,0.5,0.0,0.0,,,
http://web.archive.org/web/20240415103352/https://github.com/fcole90_interactive_bayesian/optimization,4,0.0,0,55,0.0,0.0,0.0,0.0,,
http://web.archive.org/web/20230202155448/https://github.com/Tomiinek_MultiWOZ/Evaluation,57,0.0,0,45,0.0,0.0,0.0,0.0,,
http://web.archive.org/web/20221017014511/https://github.com/edithzavala/sacre-sv,2,0.0,0,179,0.0,0.0,0.0,0.0,0.0,0.0
http://web.archive.org/web/20221109213020/https://github.com/levtalor/correcting-hires-Keck-data,1,0.0,0,2,0.0,,,,,
http://web.archive.org/web/20230707045213/https://github.com/tbuktu/bigint,79,0.0,0,18,0.0,0.0,,0.0,,0.0
http://web.archive.org/web/20221028000324/https://github.com/k9luo/DeepCritiquingForVAEBasedRecSys,8,0.0,0,854,0.0,0.0,0.0,0.0,,
http://web.archive.org/web/20200920014015/https://github.com/NenckaLab/RakiNetwork,2,0.25,1,4,0.25,,,,,
http://web.archive.org/web/20221225134936/https://github.com/daikihashimoto_BWT_to/BBWT,0,0.0,0,4,0.0,,,,,
http://web.archive.org/web/20240423193408/https://github.com/abhi1nandy2/EMNLP-2021-Findings,33,0.02040816326530612,2,98,0.5,0.0,0.0,0.0,,0.0
http://web.archive.org/web/20201117230407/https://github.com/dgleich/flowpaper-code,0,0.31910112359550563,284,890,0.3333333333333333,0.7164556962025317,0.0,0.0,,
http://web.archive.org/web/20231118160200/https://github.com/pzuliani/qwalk,2,0.0,0,4,0.0,,,,,
http://web.archive.org/web/20240413164909/https://github.com/WebAssembly/exception-handling,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
